user_id,location_id,x,y,serving_cell_id,Rx_power
279,81,12.24,24.17,1,-112.6
280,82,12.4,17.33,1,-107.2666667
281,83,12.4,15.5,1,-105.9333333
282,84,15.9,17.33,1,-99.9
283,85,15.9,15.96,1,-101.4666667
284,86,15.9,13.98,1,-97.23333333
285,87,21.63,19.45,1,-100.4666667
286,88,23.54,19.45,1,-103.0333333
287,89,22.42,18.24,1,-97.63333333
288,90,22.42,15.96,1,-92.46666667
289,91,22.58,13.83,1,-91.3
290,92,25.6,19.45,1,-104.4333333
291,93,27.51,19.45,1,-102.5
292,94,29.26,19.45,1,-102.9333333
294,96,29.26,22.49,1,-108.7333333
295,97,28.31,23.86,1,-110.3666667
296,98,23.54,23.41,1,-103.9
297,99,23.54,21.43,1,-107.2666667
298,100,29.26,17.02,1,-100.7333333
299,101,29.26,15.5,1,-100.8333333
300,102,29.26,13.98,1,-98.53333333
301,103,30.85,19.45,1,-112.5
302,104,33.24,19.45,1,-113.3
303,105,32.28,17.33,1,-105.5666667
304,106,32.28,15.5,1,-103.9
305,107,32.28,14.13,1,-105.6333333
306,108,35.14,19.61,1,-113.0666667
307,109,34.99,20.67,1,-114.3333333
308,110,34.99,22.49,1,-118.5333333
309,111,37.69,19.45,1,-117.9666667
310,112,37.69,20.97,1,-123.3
311,113,39.44,19.45,1,-122.2333333
312,114,41.5,19.45,2,-98.33333333
313,115,41.98,17.63,2,-120.6333333
314,116,41.98,16.11,2,-128.7666667
315,117,41.98,14.13,2,-126.6
316,118,43.73,19.76,2,-100.0666667
317,119,46.28,19.76,2,-94.36666667
318,120,48.02,19.91,2,-87.16666667
319,121,47.55,21.58,2,-95.06666667
320,122,47.55,22.95,2,-93.53333333
321,123,47.55,24.17,2,-101.1
322,124,45.32,24.17,2,-97.33333333
323,125,43.25,24.17,2,-101.3333333
324,126,41.19,24.01,2,-101.1
326,128,41.19,21.43,2,-105.6
327,129,43.25,21.43,2,-103.3666667
328,130,45.64,21.43,2,-99.8
330,132,43.1,22.65,2,-104.0666667
331,133,9.38,12.01,1,-99.4
332,134,9.38,10.49,1,-103.2333333
333,135,7.32,10.64,1,-110.8333333
334,136,3.82,11.25,1,-120.3333333
335,137,2.7,13.53,1,-125.1333333
336,138,7.16,12.77,1,-119.7666667
337,139,7.16,14.59,1,-124.2
338,140,5.88,15.65,1,-128.3333333
339,141,8.75,15.81,1,-120.9666667
340,142,9.38,14.13,1,-122.1333333
