id,location_id,user_x,user_y,cell_x,cell_y,cell_power,cell_x,cell_y,cell_power,cell_x,cell_y,cell_power,cell_x,cell_y,cell_power,serving Rx,neighbor Rx
0,0,33.2536154228,9.41446059416,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-97.3539159294,-103.059311974
1,1,28.5149488362,0.0598501132293,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-99.6401668103,-105.772845495
2,2,19.6563739467,7.88820866618,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-94.4800596792,-106.774611436
3,3,14.0751082573,9.03612759251,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-98.4405409576,-107.814147312
4,4,24.8563638419,7.8562664227,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-91.4787123095,-105.607698986
5,5,31.0673587564,5.11283409396,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-97.6242294849,-104.388640583
6,6,31.564936678,5.67968721329,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-97.6019484778,-104.165246817
7,7,29.0380534564,5.82385724796,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-96.0353194116,-104.801120081
8,8,21.008164363,4.31545313599,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-96.6289719946,-106.776778945
9,9,29.1532604698,2.99722358545,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-98.0596327343,-105.18426496
10,10,34.285522156,8.13067179988,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-98.3824442084,-102.940474065
11,11,31.1059892701,7.8637511227,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-96.1924595356,-103.954821027
12,12,33.6395754271,3.60631558438,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-99.5636450753,-104.007785078
13,13,42.1522803424,4.89929426697,51.446,17.966,19,24.377,11.978,19,69.175,11.247,19,82.947,18.112,19,-101.400090889,-102.696660325
14,14,31.0807519382,6.65858414325,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-96.7915035327,-104.140917582
15,15,36.3092522555,4.41647640175,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-100.470091012,-103.136763323
16,16,25.8526344964,3.15282355154,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-97.1184750989,-105.892219645
17,17,37.1540410586,6.03860607965,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-100.451172437,-102.495290727
18,18,36.0625485788,5.75294325605,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-99.994584607,-102.88940628
19,19,28.7544596084,6.17967109754,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-95.5896156715,-104.825198471
20,20,30.4230622284,4.04057825077,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-97.9182830699,-104.723084276
21,21,23.8524819112,6.94735035008,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-92.9316828327,-105.927146906
22,22,29.7481330534,-1.85540817593,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-100.831567212,-105.846762427
23,23,43.61845472,8.74940404665,51.446,17.966,19,24.377,11.978,19,69.175,11.247,19,82.947,18.112,19,-99.3287662778,-102.840071472
24,24,31.3639585882,5.39416119507,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-97.6351206878,-104.265513189
25,25,34.9879717105,4.50714596157,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-99.8472864032,-103.470536958
26,26,20.2228406348,5.18993067795,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-96.2584422813,-106.859325241
27,27,28.8964355876,2.6921892576,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-98.1708803239,-105.288342644
28,28,21.1598214317,8.60243758442,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-92.3351862973,-106.402600358
29,29,20.7267539961,10.0456903947,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-91.4443742706,-106.40798085
30,30,16.5405598796,8.31219912327,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-96.8713740098,-107.379938387
31,31,30.568577878,5.38669947095,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-97.1964642246,-104.473704259
32,32,29.0825640012,9.23981944648,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-93.4719232098,-104.361843311
33,33,17.531766688,3.60995960486,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-98.5070028534,-107.502884757
34,34,44.6664251288,8.01057428475,51.446,17.966,19,24.377,11.978,19,69.175,11.247,19,82.947,18.112,19,-99.2999668786,-103.265119033
35,35,28.3920176969,3.63896954889,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-97.3665226715,-105.263411451
36,36,28.7902424021,6.77407294668,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-95.1290744244,-104.73841108
37,37,28.5529442582,4.47906349297,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-96.8132903613,-105.106901644
38,38,25.0846157726,5.97408555606,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-94.2407250312,-105.739157951
39,39,16.1496837198,2.19932655724,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-99.7345413853,-107.858845719
40,40,27.2188934814,5.44097841434,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-95.4497558966,-105.298503759
41,41,35.9622808259,4.59518450848,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-100.265309534,-103.18809616
42,42,36.5630123425,5.32681105494,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-100.342515793,-102.845803255
43,43,23.1130010353,9.14854972011,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-89.3360795638,-105.917545905
44,44,24.6178814632,2.50100419016,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-97.542661455,-106.230594993
45,45,31.9661398606,5.23258451994,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-98.0464384508,-104.134174026
46,46,33.9911023223,6.50363465125,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-98.6762988904,-103.338716413
47,47,29.7805499853,6.70811287619,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-95.8697713163,-104.486198739
48,48,13.4485447707,8.11549231413,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-99.0181677514,-107.971105838
49,49,38.2756136644,9.71334280389,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-100.446936135,-101.171200594
